Record Length,478
Measure Type,DCI
Vertical Scale,5mA  
Model Number,SHS806
Serial Number,SHS08CA4150115
Software Version,3.01.02.02R7





Value
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
18.708,
18.708,
18.493,
18.493,
18.375,
18.375,
18.375,
18.170,
18.170,
17.964,
17.964,
17.866,
17.866,
17.866,
17.661,
17.661,
17.475,
17.475,
17.475,
17.357,
17.357,
17.201,
17.201,
17.015,
17.015,
16.985,
16.985,
16.985,
16.799,
16.799,
16.692,
16.692,
16.692,
16.525,
16.525,
16.437,
16.437,
16.261,
16.261,
16.261,
16.094,
16.094,
16.016,
16.016,
15.850,
15.850,
15.615,
15.615,
15.585,
15.585,
15.585,
15.458,
15.458,
15.301,
15.301,
15.223,
15.223,
15.223,
15.066,
15.066,
14.920,
14.920,
14.920,
14.841,
14.841,
14.694,
14.694,
14.547,
14.547,
14.547,
14.469,
14.469,
14.332,
14.332,
14.185,
14.185,
14.185,
14.107,
14.107,
13.970,
13.970,
13.901,
13.901,
13.764,
13.764,
13.764,
13.627,
13.627,
13.500,
13.500,
13.500,
13.431,
13.431,
13.294,
13.294,
13.226,
13.226,
13.099,
13.099,
13.099,
12.971,
12.971,
12.844,
12.844,
12.785,
12.785,
12.785,
12.658,
12.658,
12.541,
12.541,
12.482,
12.482,
12.482,
12.364,
12.364,
12.237,
12.237,
12.188,
12.188,
12.188,
12.071,
12.071,
11.953,
11.953,
11.894,
11.894,
11.894,
11.787,
11.787,
11.679,
11.679,
11.630,
11.630,
11.630,
11.513,
11.513,
11.405,
11.405,
11.405,
11.346,
11.346,
11.238,
11.238,
11.131,
11.131,
11.131,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
