Record Length,85
Measure Type,DCI
Vertical Scale,5mA  
Model Number,SHS806
Serial Number,SHS08CA4150115
Software Version,3.01.02.02R7





Value
0.00,
0.00,
0.00,
0.3231,
18.542,
18.444,
18.229,
18.229,
18.033,
17.935,
17.729,
17.543,
17.524,
17.347,
17.347,
17.093,
17.064,
16.887,
16.780,
16.701,
16.525,
16.359,
16.359,
16.271,
16.094,
15.928,
15.840,
15.683,
15.683,
15.389,
15.370,
15.282,
14.998,
14.978,
14.890,
14.890,
14.743,
14.596,
14.528,
14.381,
14.303,
14.156,
14.156,
14.019,
13.882,
13.823,
13.686,
13.549,
13.480,
13.353,
13.353,
13.226,
13.157,
13.030,
12.903,
12.844,
12.844,
12.717,
12.599,
12.541,
12.413,
12.296,
12.237,
12.237,
12.120,
12.002,
11.943,
11.836,
11.718,
11.669,
11.669,
11.562,
11.444,
11.385,
11.278,
11.180,
11.131,
11.131,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
0.00,
