Record Length,306
Measure Type,DCV
Vertical Scale,1000mV  
Model Number,SHS806
Serial Number,SHS08CA4150115
Software Version,3.01.02.02R7





Value
4196.0,
4195.0,
4194.0,
4193.0,
4193.0,
4192.0,
4191.0,
4188.9,
4187.9,
4187.9,
4187.0,
4186.0,
4185.0,
4184.0,
4184.0,
4.1830,
4181.9,
4181.9,
4181.0,
4180.0,
4179.0,
4179.0,
4178.0,
4177.0,
4177.0,
4176.0,
4176.0,
4175.0,
4175.0,
4174.0,
4173.0,
4173.0,
4172.0,
4171.0,
4170.0,
4170.0,
4170.0,
4168.9,
4167.9,
4167.9,
4167.9,
4167.0,
4167.0,
4166.0,
4166.0,
4166.0,
4164.0,
4164.0,
4162.9,
4162.9,
4162.9,
4162.9,
4161.0,
4161.0,
4161.0,
4161.0,
4160.0,
4160.0,
4159.0,
4159.0,
4158.0,
4158.0,
4158.0,
4157.0,
4157.0,
4157.0,
4156.0,
4156.0,
4156.0,
4155.0,
4154.0,
4154.0,
4154.0,
4153.0,
4153.0,
4153.0,
4153.0,
4152.0,
4152.0,
4152.0,
4151.0,
4151.0,
4150.0,
4150.0,
4150.0,
4150.0,
4150.0,
4148.9,
4148.0,
4148.9,
4148.0,
4148.0,
4148.0,
4147.0,
4147.0,
4147.0,
4146.0,
4146.0,
4146.0,
4145.0,
4145.0,
4145.0,
4145.0,
4144.0,
4144.0,
4144.0,
4142.9,
4142.9,
4142.9,
4142.9,
4142.9,
4141.9,
4141.9,
4141.9,
4141.0,
4141.0,
4141.0,
4141.0,
4141.0,
4140.0,
4141.0,
4140.0,
4140.0,
4139.0,
4139.0,
4139.0,
4139.0,
4138.0,
4139.0,
4138.0,
4138.0,
4137.0,
4137.0,
4137.0,
4137.0,
4136.0,
4136.0,
4136.0,
4136.0,
4135.0,
4136.0,
4135.0,
4135.0,
4135.0,
4135.0,
4134.0,
4134.0,
4134.0,
4134.0,
4134.0,
4133.0,
4133.0,
4133.0,
4133.0,
4132.0,
4133.0,
4132.0,
4132.0,
4132.0,
4132.0,
4131.0,
4131.0,
4132.0,
4131.0,
4131.0,
4130.0,
4130.0,
4130.0,
4130.0,
4128.9,
4128.9,
4128.9,
4128.9,
4128.9,
4128.9,
4128.9,
4128.9,
4128.0,
4128.0,
4128.0,
4127.0,
4127.0,
4127.0,
4127.0,
4127.0,
4127.0,
4127.0,
4127.0,
4127.0,
4126.0,
4126.0,
4126.0,
4125.0,
4125.0,
4125.0,
4125.0,
4125.0,
4125.0,
4125.0,
4124.0,
4125.0,
4124.0,
4124.0,
4122.9,
4122.9,
4122.9,
4122.9,
4122.9,
4122.9,
4122.9,
4122.9,
4122.9,
4121.9,
4122.9,
4121.9,
4121.9,
4121.9,
4121.9,
4121.0,
4121.0,
4121.0,
4121.0,
4120.0,
4120.0,
4120.0,
4120.0,
4120.0,
4120.0,
4120.0,
4120.0,
4119.0,
4120.0,
4120.0,
4119.0,
4119.0,
4119.0,
4119.0,
4119.0,
4118.0,
4118.0,
4118.0,
4118.0,
4118.0,
4118.0,
4118.0,
4118.0,
4118.0,
4117.0,
4117.0,
4117.0,
4117.0,
4117.0,
4117.0,
4117.0,
4116.0,
4117.0,
4116.0,
4116.0,
4116.0,
4116.0,
4116.0,
4116.0,
4116.0,
4116.0,
4115.0,
4116.0,
4115.0,
4115.0,
4115.0,
4115.0,
4114.0,
4114.0,
4114.0,
4114.0,
4114.0,
4114.0,
4114.0,
4113.0,
4113.0,
4113.0,
4113.0,
4113.0,
4113.0,
4113.0,
4113.0,
4113.0,
4112.0,
4112.0,
4112.0,
4112.0,
4112.0,
4112.0,
4112.0,
4111.0,
4112.0,
4111.0,
4111.0,
4111.0,
4111.0,
4111.0,
4111.0,
4110.0,
4110.0,
4111.0,
4110.0,
4110.0,
