Record Length,282
Measure Type,DCV
Vertical Scale,1000V  
Model Number,SHS806
Serial Number,SHS08CA4150115
Software Version,3.01.02.02R7





Value
4.2090,
4.2070,
4.2070,
4.2050,
4.2040,
4.2030,
4.2020,
4.2020,
4.2010,
4.2000,
4.2000,
4.1990,
4.1980,
4.1970,
4.1970,
4.1960,
4.1960,
4.1960,
4.1950,
4.1950,
4.1940,
4.1940,
4.1930,
4.1930,
4.1930,
4.1930,
4.1920,
4.1920,
4.1910,
4.1910,
4.1910,
4.1910,
4.1910,
4.1900,
4.1900,
4.1900,
4.1890,
4.1890,
4.1890,
4.1890,
4.1880,
4.1880,
4.1880,
4.1880,
4.1880,
4.1870,
4.1870,
4.1870,
4.1870,
4.1870,
4.1860,
4.1860,
4.1860,
4.1860,
4.1860,
4.1860,
4.1860,
4.1850,
4.1850,
4.1840,
4.1850,
4.1840,
4.1840,
4.1840,
4.1840,
4.1840,
4.1840,
4.1840,
4.1830,
4.1830,
4.1830,
4.1830,
4.1830,
4.1830,
4.1820,
4.1820,
4.1820,
4.1820,
4.1820,
4.1820,
4.1810,
4.1810,
4.1810,
4.1810,
4.1810,
4.1810,
4.1800,
4.1800,
4.1800,
4.1800,
4.1800,
4.1800,
4.1800,
4.1800,
4.1800,
4.1790,
4.1790,
4.1790,
4.1790,
4.1790,
4.1790,
4.1790,
4.1780,
4.1780,
4.1780,
4.1780,
4.1780,
4.1780,
4.1780,
4.1780,
4.1780,
4.1780,
4.1770,
4.1770,
4.1770,
4.1770,
4.1770,
4.1770,
4.1770,
4.1770,
4.1760,
4.1770,
4.1760,
4.1760,
4.1760,
4.1760,
4.1760,
4.1750,
4.1750,
4.1750,
4.1750,
4.1750,
4.1750,
4.1740,
4.1750,
4.1750,
4.1750,
4.1740,
4.1740,
4.1740,
4.1740,
4.1740,
4.1740,
4.1740,
4.1740,
4.1730,
4.1740,
4.1730,
4.1730,
4.1730,
4.1730,
4.1730,
4.1730,
4.1720,
4.1730,
4.1720,
4.1720,
4.1720,
4.1720,
4.1720,
4.1720,
4.1720,
4.1720,
4.1720,
4.1720,
4.1720,
4.1720,
4.1710,
4.1710,
4.1710,
4.1710,
4.1710,
4.1700,
4.1700,
4.1700,
4.1700,
4.1700,
4.1700,
4.1700,
4.1700,
4.1700,
4.1700,
4.1700,
4.1700,
4.1700,
4.1700,
4.1700,
4.1700,
4.1700,
4.1690,
4.1690,
4.1690,
4.1690,
4.1690,
4.1680,
4.1690,
4.1680,
4.1680,
4.1680,
4.1680,
4.1680,
4.1680,
4.1680,
4.1680,
4.1680,
4.1680,
4.1680,
4.1680,
4.1670,
4.1670,
4.1670,
4.1680,
4.1670,
4.1670,
4.1670,
4.1670,
4.1670,
4.1660,
4.1670,
4.1670,
4.1660,
4.1660,
4.1660,
4.1660,
4.1660,
4.1660,
4.1660,
4.1660,
4.1660,
4.1660,
4.1660,
4.1660,
4.1650,
4.1660,
4.1660,
4.1660,
4.1650,
4.1650,
4.1650,
4.1650,
4.1650,
4.1650,
4.1640,
4.1640,
4.1640,
4.1640,
4.1650,
4.1640,
4.1640,
4.1640,
4.1640,
4.1640,
4.1630,
4.1640,
4.1640,
4.1630,
4.1630,
4.1630,
4.1630,
4.1630,
4.1630,
4.1630,
4.1630,
4.1630,
4.1630,
4.1620,
4.1630,
4.1620,
4.1620,
4.1620,
4.1620,
4.1620,
4.1620,
4.1620,
4.1610,
4.1610,
4.1620,
4.1610,
4.1610,
4.1620,
4.1620,
4.1610,
